縣市,Location,類型,Class,遊憩據點,Scenic Spots,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,小計,地址
臺北市,Yangmingshan Visitor Center,國家公園,Yangmingshan Visitor Center,陽明山遊客中心,Yangmingshan Visitor Center,20681,15269,17206,13474,14562,15968,19888,13165,17578,15936,21415,14389,10053,11962,15172,12013,17142,16672,20561,12214,12247,10842,14946,15611,11050,12111,11884,12957,11937,17581,13094,13306,11248,13140,17282,13201,13785,16426,10710,11148,12187,18612,18580,13329,14179,11397,16000,11791,10469,11515,6896,9631,18133,66380,28664,13106,14624,12856,14267,10917,8291,8156,7192,6792,30147,12587,10463,9435,7859,10190,11561,36528,9787,8593,8530,6505,10773,12587,10360,9315,8395,11833,11518,7228,11310,10575,11370,8977,12349,7941,10391,11667,12854,12468,11457,9562,7305,0,0,0,11835,14029,14400,18840,16300,13364,21623,22431,6780,0,0,0,18832,52386,16896,15409,17161,52793,15355,15512,13055,16738,18460,20950,16358,34154,19223,22918,18408,20368,20841,21888,13500,17686,16880,15873,18936,14591,12992,9603,10249,12303,13064,10650,9458,9071,8622,5340,9087,10321,9338,11290,4219,0,175,835,1201,1127,1555,3309,4733,6628,7705,5146,3517,7594,14315,11911,7465,5787,6438,6593,60330,60338,73293,70644,58005,60807,74049,56339,63333,2829762,112台北市北投區竹子湖路1-20號
臺北市,Yangmingshuwu,國家公園,Yangmingshuwu,陽明書屋,Yangmingshuwu,1618,3842,3009,3302,2562,2846,3375,3756,3376,2369,2982,2928,2438,2758,3664,2507,2354,2716,4286,3358,3192,2040,3423,3680,2166,2295,2597,2309,1685,3581,3561,3822,2234,2320,3534,3367,2977,2715,2830,2698,2597,3617,5221,4317,3497,2815,3005,2497,2764,3701,2863,2983,3010,3667,3804,3082,2826,2943,2817,2668,2550,3191,3748,2455,2446,3203,2991,3614,2675,2361,2858,2991,2680,3543,3170,2757,2811,4196,3157,3278,3230,7392,2343,1333,2378,3426,3529,2448,2846,3915,2524,3145,3615,2574,2766,2830,1639,2805,2832,2857,2834,3002,2910,3500,3002,2101,2654,2455,2272,3489,2490,2177,1616,2745,2811,13045,11270,10926,6813,6009,11634,9339,7987,9317,8761,12488,2415,11296,10862,10557,13671,11650,7134,9475,10703,8483,8983,9847,8295,5819,6886,8747,9086,7959,5855,6569,5888,5376,4434,5299,4925,6117,2403,0,426,1252,1304,1449,2604,3162,3381,4017,4102,3701,2617,3996,4746,4770,3297,2896,3858,3078,4570,13989,14737,14258,11019,7984,8942,5106,4342,798852,112台北市北投區
臺北市,Yangming Park,國家公園,Yangming Park,陽明公園,Yangming Park,52000,48000,41000,38000,143000,715000,675000,112000,41000,32000,61000,54000,47000,45000,39000,42000,128000,456000,824600,86000,45000,35000,58000,51000,45000,42000,43000,45000,96000,414000,611300,92000,42000,33000,56000,49000,42000,39000,40000,36000,161000,463000,705200,85600,38600,28000,51700,44700,39000,36000,35000,33000,114000,768000,582000,76000,35800,27500,44700,42500,38000,35000,32500,31000,98500,1023900,411400,78000,32800,25400,43200,41500,34200,33000,30500,29000,94000,922000,624200,76000,31000,21550,13090,5100,4390,8700,13040,19350,26250,663367,691332,25200,30750,24750,15400,9540,4940,4750,6513,4883,8490,569737,802012,35988,26671,23895,17950,15050,12850,9050,8270,8660,8750,247131,891890,26500,23500,24400,15700,16060,14010,7630,9940,9480,10340,362770,616450,35100,28300,26400,14400,13300,13500,9800,9400,9300,63502,182033,395529,17600,10400,20600,15600,17800,15420,7380,10070,8690,14994,609339,572943,12322,3022,18052,9750,14460,13520,6308,5970,6622,202150,278450,544370,525003,219193,207641,296942,362586,203882,184476,330665,137314,351555,383053,658319,611056,549175,483219,457438,399813,475343,28259438,112台北市北投區湖山路二段26號
臺北市,Datun Recreation Area,國家公園,Datun Recreation Area,大屯遊憩區,Datun Recreation Area,39100,61500,37020,42700,37816,37520,16118,16071,55137,45369,59247,54858,47036,18227,22892,25355,22621,25946,34869,17715,30077,36656,64104,61588,38031,28425,15156,23331,12023,47883,29168,40864,34597,46285,58672,44622,40317,30278,16270,9959,17047,29079,38558,34332,43906,42586,63721,41881,51743,38214,27467,27306,23629,41333,60660,30168,44126,122164,101522,100871,49849,47142,52135,22932,54121,54357,45513,55373,48226,66879,88481,101473,52891,43251,38686,18582,48282,38345,35079,51847,56146,83547,83321,43999,62871,52824,69359,41803,46979,67055,39456,78602,81236,99711,109117,85946,50983,73936,71715,61641,58882,40053,44729,85110,71767,43532,89058,77931,62141,36427,15855,31852,30588,52168,33536,47707,65776,83168,88858,89094,64101,65939,60155,45507,28853,76943,48256,58579,51847,45953,80894,53030,31455,47110,38052,7643,10671,34546,51122,41056,39395,53302,50177,49548,33624,34116,27592,21340,40652,31452,33538,40628,24208,2302,32925,33581,50740,36813,26333,21219,18989,12510,31139,38302,23947,36476,49299,42514,26437,23972,22245,17453,25656,23525,31820,29894,27478,30600,38307,32373,36888,8172680,新北市三芝區興華里車埕路53-2號
臺北市,Longfonggu Recreation Area,國家公園,Longfonggu Recreation Area,龍鳳谷遊憩區,Longfonggu Recreation Area,13990,25630,25440,20610,20780,23282,40105,44561,20040,14837,19696,15064,16001,15544,19698,16735,23865,24039,50032,51152,21435,16589,23928,23634,10567,11765,10563,14680,9532,18446,30114,68562,13596,13681,17685,13186,13331,17781,12589,12963,21201,22134,62447,64691,16243,15811,15787,16963,16176,18951,18136,19135,21683,38987,45769,66359,16353,20637,15077,19399,17461,18297,23211,17523,22199,24641,51141,101997,18584,17464,14582,18688,21145,23386,20045,20972,24821,31373,72394,123415,24013,20029,19881,15954,19603,21715,23252,21160,25045,35712,75162,108251,16529,12384,12809,14441,13501,17269,26449,34432,43762,32503,104623,119830,39363,18100,20722,23993,26402,30456,25771,29014,27405,45304,59814,160759,29675,23714,22649,22851,22109,21424,28537,33115,27659,53265,131849,133843,43516,82158,44290,41467,51423,33778,34252,36266,44468,35513,73930,41460,29453,28932,25854,28364,33624,45372,35417,32719,49719,48486,115274,120591,18098,2951,4898,18330,26895,38354,42257,34452,37981,60868,134428,126255,22051,20289,22630,22804,25921,26214,23908,28361,35270,22790,66420,89902,25115,23723,26655,20117,12910,6244281,112台北市北投區泉源路
臺北市,Xiaoyoukeng Recration Area,國家公園,Xiaoyoukeng Recration Area,小油坑遊憩區,Xiaoyoukeng Recration Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16332,33746,19492,29226,20714,30604,31685,23839,23243,23293,22414,16558,20839,16853,24528,27840,18760,18184,25647,20332,22928,28958,19923,21417,19162,19997,38851,28281,24669,39041,26927,25852,22187,29937,31949,21653,27940,36535,35525,33152,29396,30995,31530,33416,26893,30320,28863,25745,35459,29038,30445,31767,29093,29671,33063,22694,29333,34418,32568,20433,23180,37529,22513,30685,32214,29445,35912,26917,17953,33792,35459,32085,29227,25194,28157,45649,30392,24862,32685,34051,32129,60580,25047,28657,25298,38515,43575,46086,48112,32134,40787,36922,27528,34442,38472,36223,28108,40606,39406,44955,37215,45312,37499,33254,30628,45888,42434,43712,38537,26902,24238,19678,32599,42561,40692,33943,22520,38685,33943,16916,32288,29753,29314,35451,14230,471,4088,10417,19098,22511,18608,13781,11633,20692,24159,18898,8080,24259,34135,29833,15950,13388,10938,7264,20190,26116,39875,44165,31069,35408,45902,38047,35843,4422646,112台北市北投區竹子湖路69號
臺北市,Lengshuikeng,國家公園,Lengshuikeng,冷水坑,Lengshuikeng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24167,44003,46344,45917,37508,54834,59303,67573,46038,58419,74151,59243,43952,46861,58151,28272,35572,45194,58141,49737,37474,53017,49737,36609,45076,37350,36986,53933,23061,2714,7777,19289,25368,25641,46195,38351,23806,24165,36458,33436,15970,36410,46164,42219,28492,32949,50599,29433,49030,53428,47496,61543,50953,69372,68207,55318,74631,2452037,111台北市士林區菁山路101巷170號
臺北市,Qingtiangang,國家公園,Qingtiangang,擎天崗,Qingtiangang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35287,37730,34293,47182,40755,50246,52741,43875,51621,80294,78972,56932,64208,74443,32642,34083,37021,52060,45108,48245,28382,47421,48245,26239,40270,49435,37515,45944,22426,827,7735,22205,23454,23454,31184,23673,21729,20132,30926,34801,16189,38108,51806,52038,32706,28482,39082,27559,46019,48374,53412,70576,45131,52482,64993,45604,60239,2356535,111台北市士林區菁山路101巷246號
臺北市,National Palace Museum,博物館,National Palace Museum,國立故宮博物院,National Palace Museum,114367,208563,208270,188290,202013,163287,232007,261060,227480,147799,205593,214893,168281,228674,255355,268362,230398,245416,296234,307094,321709,243370,292982,316157,246015,298117,331855,311901,258191,291182,303435,356119,328895,251374,355498,347995,253090,331835,381051,390912,298037,329963,426229,464262,421357,309928,375416,367686,279346,345925,370956,371710,304278,324931,388409,396625,333495,338163,397836,472754,376983,359249,410667,397288,389257,458965,505251,507282,496465,408086,428610,453959,384277,458793,448495,462885,482236,533567,441972,406013,459271,365835,429725,465433,333224,486151,455457,428983,447514,466023,462046,438172,423639,356769,411514,402433,243479,341266,329451,343419,334485,318772,310789,351929,369998,320848,424706,431185,264756,386268,429425,467762,421459,408214,291705,270188,259052,248363,286991,338580,268250,343294,351268,373280,370990,407593,366684,340563,352990,292033,338031,354840,191623,266119,276443,274464,207677,62144,15436,10141,20489,30693,51837,59923,35828,58803,43382,45810,44342,53268,33743,57620,19077,0,2891,18740,19855,70089,62295,34916,34727,37931,32976,25908,16461,28804,69660,70950,42339,64834,57755,74943,103511,98055,99299,125817,107071,116323,137895,143101,118554,49572382,111台北市士林區至善路二段221號
臺北市,Taipei Fine Arts Museum,博物館,Taipei Fine Arts Museum,臺北市立美術館,Taipei Fine Arts Museum,20331,35672,32447,32226,33391,27818,33511,49280,98156,97210,132589,190481,160332,229033,40700,51818,86665,125858,26428,30450,22289,42963,118426,128505,98279,68543,307343,235932,172874,280103,205924,330116,120243,63616,29827,30254,24600,19487,34687,31118,30209,22190,24057,28545,27449,22673,29423,40549,15371,35997,31220,31592,26514,25399,24616,27199,22572,17795,21476,44209,29244,37955,38532,45416,32659,48700,37686,37302,29328,29154,34821,38715,31443,58068,60689,56789,50671,39885,49621,69926,56560,54666,62497,51992,38738,52623,49804,51150,45301,45712,51530,89617,66482,58703,68457,60446,43701,58239,45008,48946,35235,41676,29819,48177,46748,44300,69949,71639,52168,25756,24684,20444,16013,12707,15814,1091,0,8322,30784,37802,35185,42358,36532,47848,48208,42015,41689,32279,35872,38124,43477,59930,47558,48547,39836,43354,39207,35556,27370,20572,37308,67915,58297,53478,33168,41334,24529,39423,40411,33437,30771,25236,34650,0,10256,26658,39661,53875,29707,23932,22994,23624,25107,23991,20700,34214,54177,39088,27611,38191,37153,37862,34949,46224,59945,68624,59127,47827,53245,50011,42360,9395071,111台北市士林區菁山路101巷246號
